20131223| Q 3 | obs 20 from 14.760--24.235 | MD 0.499 
20131224| Q 5 | obs 20 from 14.761--24.236 | MD 0.499 
20131225| Q 3 | obs 20 from 14.762--24.237 | MD 0.499 
20131226| Q 5 | obs 20 from 14.763--24.238 | MD 0.499 
20131227| Q 3 | obs 20 from 14.764--24.239 | MD 0.499 
20131228| Q 3 | obs 20 from 14.765--24.240 | MD 0.499 
20131229| Q 3 | obs 20 from 14.766--24.241 | MD 0.499 
20131230| Q 3 | obs 20 from 14.767--24.242 | MD 0.499 
20131231| Q 4 | obs 20 from 14.760--24.235 | MD 0.499 
20140101| Q 5 | obs 20 from 14.761--24.236 | MD 0.499 
20140102| Q 3 | obs 20 from 14.762--24.237 | MD 0.499 
20140103| Q 1 | obs 20 from 14.763--24.238 | MD 0.499 
20140104| Q 5 | obs 20 from 14.764--24.239 | MD 0.499 
20140105| Q 5 | obs 20 from 14.760--24.234 | MD 0.499 
20140106| Q 4 | obs 20 from 14.761--24.235 | MD 0.499 
20140107| Q 2 | obs 20 from 14.762--24.237 | MD 0.499 
20140108| Q 5 | obs 20 from 14.763--24.238 | MD 0.499 
20140109| Q 5 | obs 19 from 14.764--24.239 | MD 0.526 
20140110| Q 5 | obs 20 from 14.765--24.240 | MD 0.499 
20140111| Q 2 | obs 20 from 14.766--24.241 | MD 0.499 
20140112| Q 5 | obs 20 from 14.767--24.242 | MD 0.499 
20140113| Q 3 | obs 20 from 14.759--24.234 | MD 0.499 
20140114| Q 5 | obs 20 from 14.761--24.236 | MD 0.499 
20140115| Q 3 | obs 20 from 14.762--24.237 | MD 0.499 
20140116| Q 4 | obs 20 from 14.763--24.238 | MD 0.499 
20140117| Q 4 | obs 20 from 14.764--24.239 | MD 0.499 
20140118| Q 3 | obs 20 from 14.765--24.240 | MD 0.499 
20140119| Q 4 | obs 20 from 14.761--24.236 | MD 0.499 
20140120| Q 3 | obs 20 from 14.762--24.237 | MD 0.499 
20140121| Q 5 | obs 20 from 14.763--24.238 | MD 0.499 
20140122| Q 4 | obs 20 from 14.764--24.239 | MD 0.499 
20140123| Q 5 | obs 20 from 14.765--24.240 | MD 0.499 
20140124| Q 4 | obs 20 from 14.766--24.241 | MD 0.499 
20140125| Q 4 | obs 20 from 14.767--24.242 | MD 0.499 
20140126| Q 4 | obs 20 from 14.760--24.235 | MD 0.499 
20140127| Q 5 | obs 20 from 14.761--24.236 | MD 0.499 
20140128| Q 5 | obs 20 from 14.762--24.237 | MD 0.499 
20140129| Q 4 | obs 20 from 14.763--24.238 | MD 0.499 
20140130| Q 3 | obs 14 from 16.476--24.239 | MD 0.597 
20140131| Q 3 | obs 20 from 14.765--24.240 | MD 0.499 
20140201| Q 2 | obs 20 from 14.766--24.241 | MD 0.499 
20140202| Q 2 | obs 20 from 14.762--24.237 | MD 0.499 
20140203| Q 2 | obs 20 from 14.763--24.238 | MD 0.499 
20140204| Q 1 | obs 20 from 14.764--24.239 | MD 0.499 
20140205| Q 2 | obs 20 from 14.765--24.240 | MD 0.499 
20140206| Q 1 | obs 20 from 14.766--24.241 | MD 0.499 
20140207| Q 2 | obs 20 from 14.767--24.242 | MD 0.499 
20140208| Q 5 | obs 18 from 15.918--24.235 | MD 0.489 
20140209| Q 4 | obs 7 from 21.419--24.236 | MD 0.469 
20140210| Q 5 | obs 14 from 16.750--24.239 | MD 0.576 
20140211| Q 3 | obs 20 from 14.765--24.240 | MD 0.499 
20140212| Q 3 | obs 20 from 14.766--24.241 | MD 0.499 
20140213| Q 5 | obs 20 from 14.767--24.242 | MD 0.499 
20140214| Q 4 | obs 20 from 14.760--24.235 | MD 0.499 
20140215| Q 5 | obs 20 from 14.761--24.236 | MD 0.499 
20140216| Q 3 | obs 20 from 14.762--24.237 | MD 0.499 
20140217| Q 5 | obs 20 from 14.763--24.238 | MD 0.499 
20140218| Q 5 | obs 16 from 16.973--24.239 | MD 0.484 
20140219| Q 5 | obs 15 from 15.250--24.244 | MD 0.642 
20140220| Q 4 | obs 20 from 14.760--24.239 | MD 0.499 
20140221| Q 2 | obs 20 from 14.762--24.241 | MD 0.499 
20140222| Q 1 | obs 20 from 14.765--24.244 | MD 0.499 
20140223| Q 5 | obs 20 from 14.768--24.238 | MD 0.498 
20140224| Q 4 | obs 20 from 14.762--24.241 | MD 0.499 
20140225| Q 4 | obs 20 from 14.906--24.244 | MD 0.491 
20140226| Q 1 | obs 16 from 16.305--24.238 | MD 0.529 
20140227| Q 2 | obs 20 from 14.774--24.241 | MD 0.498 
20140228| Q 2 | obs 18 from 15.881--24.243 | MD 0.492 
20140301| Q 3 | obs 20 from 14.767--24.238 | MD 0.498 
20140302| Q 1 | obs 19 from 14.857--24.240 | MD 0.521 
20140303| Q 4 | obs 20 from 14.852--24.243 | MD 0.494 
20140304| Q 3 | obs 14 from 15.325--24.237 | MD 0.686 
20140305| Q 5 | obs 20 from 14.761--24.240 | MD 0.499 
20140306| Q 5 | obs 13 from 18.351--24.243 | MD 0.491 
20140307| Q 5 | obs 16 from 14.929--24.245 | MD 0.621 
20140308| Q 2 | obs 20 from 14.761--24.240 | MD 0.499 
20140309| Q 4 | obs 20 from 14.763--24.242 | MD 0.499 
20140310| Q 3 | obs 20 from 14.766--24.245 | MD 0.499 
20140311| Q 3 | obs 20 from 14.760--24.240 | MD 0.499 
20140312| Q 2 | obs 20 from 14.763--24.242 | MD 0.499 
20140313| Q 5 | obs 18 from 15.766--24.245 | MD 0.499 
20140314| Q 3 | obs 20 from 14.760--24.239 | MD 0.499 
20140315| Q 4 | obs 20 from 14.763--24.242 | MD 0.499 
20140316| Q 2 | obs 20 from 14.766--24.245 | MD 0.499 
20140317| Q 4 | obs 20 from 14.760--24.239 | MD 0.499 
20140318| Q 3 | obs 17 from 16.363--24.242 | MD 0.492 
20140319| Q 3 | obs 20 from 14.765--24.244 | MD 0.499 
20140320| Q 3 | obs 20 from 14.760--24.239 | MD 0.499 
20140321| Q 5 | obs 13 from 18.450--24.242 | MD 0.483 
20140322| Q 3 | obs 11 from 18.750--23.515 | MD 0.477 
